Code,Total,Dem,Rep,Other
IN-07,112261,61443,46887,"3,931"
IN-08,171315,61384,103344,"6,587"
IN-09,163387,55016,101594,"6,777"
IA-01,"289,306","141,145","147,762",399
IA-02,"273,329","143,431","129,455",443
IA-03,"282,066","119,109","148,814","14,143"
IA-04,"275,633","105,504","169,834",295
KS-01,204161,65397,138764,0
KS-02,225686,87153,128742,"9,791"
KS-03,224280,89584,134493,203
KS-04,208153,69396,138757,0
KY-01,236618,63596,173022,0
KY-02,226834,69898,156936,0
KY-03,247355,157056,87981,"2,318"
KY-04,222158,71694,150464,0
KY-05,218967,47617,171350,0
KY-06,245694,98290,147404,0
LA-01,"244,004","46,047","189,250","8,707"
LA-02,"221,564","190,000",0,"31,564"
LA-03,"236,268",0,"207,926","28,342"
LA-04,"207,919",0,"152,683","55,236"
LA-05,"209,622","75,006","134,616",0
LA-06,"222,990","83,781","139,209",0
ME-01,"308,898","186,674","94,751","27,473"
ME-02,"283,473","118,568","133,320","31,585"
MD-01,"250,418","73,843","176,342",233
MD-02,"196,354","120,412","70,411","5,531"
MD-03,"215,946","128,594","87,029",323
MD-04,"191,837","134,628","54,217","2,992"
MD-05,"226,040","144,725","80,752",563
MD-06,"190,536","94,704","91,930","3,902"
MD-07,"206,809","144,639","55,860","6,310"
MD-08,"225,097","136,722","87,859",516
MA-01,"171,110","167,612",0,"3,498"
MA-02,"172,745","169,640",0,"3,105"
MA-03,"220,946","139,104","81,638",204
MA-04,"188,098","184,158",0,"3,940"
MA-05,"185,260","182,100",0,"3,160"
MA-06,"272,219","149,638","111,989","10,592"
MA-07,"144,546","142,133",0,"2,413"
MA-08,"203,351","200,644",0,"2,707"
MA-09,"255,541","140,413","114,971",157
MI-01,"250,131","113,263","130,414","6,454"
MI-02,"213,072","70,851","135,568","6,653"
MI-03,"217,165","84,720","125,754","6,691"
MI-04,"219,423","85,777","123,962","9,684"
MI-05,"222,138","148,182","69,222","4,734"
MI-06,"208,976","84,391","116,801","7,784"
MI-07,"223,685","92,083","119,564","12,038"
MI-08,"243,125","102,269","132,739","8,117"
MI-09,"225,757","136,342","81,470","7,945"
MI-10,"228,692","67,143","157,069","4,480"
MI-11,"251,238","101,681","140,435","9,122"
MI-12,"206,660","134,346","64,716","7,598"
MI-13,"166,947","132,710","27,234","7,003"
MI-14,"212,468","165,272","41,801","5,395"
MN-01,"226,695","122,851","103,536",308
MN-02,"245,848","95,565","137,778","12,505"
MN-03,"269,585","101,846","167,515",224
MN-04,"241,637","147,857","79,492","14,288"
MN-05,"236,009","167,079","56,577","12,353"
MN-06,"236,846","90,926","133,328","12,592"
MN-07,"240,835","130,546","109,955",334
MN-08,"266,083","129,090","125,358","11,635"
MS-01,"151,111","43,713","102,622","4,776"
MS-02,"148,646","100,688",0,"47,958"
MS-03,"170,946","47,744","117,771","5,431"
MS-04,"155,576","37,869","108,776","8,931"
MO-01,"163,494","119,315","35,273","8,906"
MO-02,"231,117","75,384","148,191","7,542"
MO-03,"191,620","52,021","130,940","8,659"
MO-04,"176,286","46,464","120,014","9,808"
MO-05,"153,635","79,256","69,071","5,308"
MO-06,"186,970","55,157","124,616","7,197"
MO-07,"163,957","47,282","104,054","12,621"
MO-08,"159,224","38,721","106,124","14,379"
MT-AL,"367,963","148,690","203,871","15,402"
NE-01,"179,057","55,838","123,219",0
NE-02,"171,050","83,872","78,157","9,021"
NE-03,"184,964","45,524","139,440",0
NV-01,"80,299","45,643","30,413","4,243"
NV-02,"186,210","52,016","122,402","11,792"
