Code,Total,Dem,Rep,Other,Obama,Romney,Dem_share,Rep_share,Winner
RI-02,"169,904","105,716","63,844",344,"138,345","88,519",62.20%,37.60%,D
SC-01,"127,815",0,"119,392","8,423","119,756","173,550",0%,93.40%,R
SC-02,"194,808","68,719","121,649","4,440","113,338","170,005",35.30%,62.40%,R
SC-03,"164,009","47,181","116,741",87,"89,494","170,173",28.80%,71.20%,R
SC-04,"149,049",0,"126,452","22,597","99,387","170,679",0%,84.80%,R
SC-05,"175,145","71,985","103,078",82,"124,832","157,710",41.10%,58.90%,R
SC-06,"173,432","125,747","44,311","3,374","195,131","77,299",72.50%,25.50%,D
SC-07,"171,524","68,576","102,833",115,"124,002","152,230",40.00%,60.00%,R
SD-AL,"276,319","92,485","183,834",0,"145,039","210,610",33.50%,66.50%,R
TN-01,"139,470",0,"115,533","23,937","65,767","186,310",0%,82.80%,R
TN-02,"166,751","37,612","120,883","8,256","85,525","186,368",22.60%,72.50%,R
TN-03,"156,097","53,983","97,344","4,770","95,226","171,838",34.60%,62.40%,R
TN-04,"145,418","51,357","84,815","9,246","86,133","169,977",35.30%,58.30%,R
TN-05,"154,276","96,148","55,078","3,050","152,939","116,229",62.30%,35.70%,D
TN-06,"162,097","37,232","115,231","9,634","82,297","192,662",23.00%,71.10%,R
TN-07,"157,907","42,280","110,534","5,093","92,042","183,757",26.80%,70.00%,R
TN-08,"172,595","42,433","122,255","7,907","100,213","201,645",24.60%,70.80%,R
TN-09,"116,550","87,376","27,173","2,001","200,568","53,544",75.00%,23.30%,D
TX-01,"148,560","33,476","115,084",0,"69,858","181,835",22.50%,77.50%,R
TX-02,"150,026","44,462","101,936","3,628","88,751","157,094",29.60%,67.90%,R
TX-03,"138,280",0,"113,404","24,876","93,290","175,383",0%,82.00%,R
TX-04,"115,085",0,"115,085",0,"63,559","189,554",0%,100%,R
TX-05,"104,262",0,"88,998","15,264","73,085","137,239",0%,85.40%,R
TX-06,"150,996","55,027","92,334","3,635","103,444","146,985",36.40%,61.10%,R
TX-07,"143,219","49,478","90,606","3,135","92,499","143,631",34.50%,63.30%,R
TX-08,"140,013",0,"125,066","14,947","55,273","195,742",0%,89.30%,R
TX-09,"86,003","78,109",0,"7,894","145,332","39,392",90.80%,0%,D
TX-10,"176,460","60,243","109,726","6,491","104,839","159,714",34.10%,62.20%,R
TX-11,"119,574",0,"107,939","11,635","45,070","182,355",0%,90.30%,R
TX-12,"158,730","41,757","113,186","3,787","79,147","166,992",26.30%,71.30%,R
TX-13,"131,451","16,822","110,842","3,787","42,521","184,104",12.80%,84.30%,R
TX-14,"145,698","52,545","90,116","3,037","97,958","147,213",36.10%,61.90%,R
TX-15,"90,184","48,708","39,016","2,460","86,941","62,885",54.00%,43.30%,D
TX-16,"73,105","49,338","21,324","2,443","100,993","54,315",67.50%,29.20%,D
TX-17,"132,865","43,049","85,807","4,009","84,531","135,309",32.40%,64.60%,R
TX-18,"106,010","76,097","26,249","3,664","150,129","44,991",71.80%,24.80%,D
TX-19,"115,825","21,325","89,326","5,174","54,461","160,141",18.40%,77.10%,R
TX-20,"87,964","66,554",0,"21,410","110,663","74,540",75.70%,0%,D
TX-21,"188,996",0,"135,660","53,336","119,220","188,241",0%,71.80%,R
TX-22,"151,566","47,844","100,861","2,861","93,582","158,452",31.60%,66.50%,R
TX-23,"115,429","55,037","57,459","2,933","94,420","99,666",47.70%,49.80%,R
TX-24,"144,073","46,548","93,712","3,813","94,634","150,547",32.30%,65.00%,R
TX-25,"177,883","64,463","107,120","6,300","102,433","162,279",36.20%,60.20%,R
TX-26,"141,470",0,"116,944","24,526","80,828","177,941",0%,82.70%,R
TX-27,"131,047","44,152","83,342","3,553","83,158","131,821",33.70%,63.60%,R
TX-28,"76,136","62,508",0,"13,628","101,843","65,372",82.10%,0%,D
TX-29,"46,143","41,321",0,"4,822","75,720","37,909",89.50%,0%,D
TX-30,"105,793","93,041",0,"12,752","175,637","43,333",87.90%,0%,D
TX-31,"143,028","45,715","91,607","5,706","92,842","144,634",32.00%,64.00%,R
TX-32,"156,096","55,325","96,495","4,276","106,563","146,420",35.40%,61.80%,R
TX-33,"50,592","43,769",0,"6,823","86,686","32,641",86.50%,0%,D
TX-34,"79,877","47,503","30,811","1,563","90,885","57,303",59.50%,38.60%,D
TX-35,"96,225","60,124","32,040","4,061","105,545","57,989",62.50%,33.30%,D
TX-36,"133,842","29,543","101,663","2,636","61,786","175,883",22.10%,76.00%,R
UT-01,"130,341","36,422","84,231","9,688","51,098","193,672",27.90%,64.60%,R
UT-02,"144,695","47,585","88,915","8,195","74,556","173,513",32.90%,61.40%,R
UT-03,"142,580","32,059","102,952","7,569","51,791","208,121",22.50%,72.20%,R
UT-04,"147,168","67,425","74,936","4,807","74,368","165,294",45.80%,50.90%,R
VT-AL,"191,504","123,349","59,432","8,723","199,239","92,698",64.40%,31.00%,D
VA-01,"209,621","72,059","131,861","5,701","166,510","193,647",34.40%,62.90%,R
VA-02,"173,060","71,178","101,558",324,"159,695","154,935",41.10%,58.70%,R
VA-03,"147,402","139,197",0,"8,205","262,265","66,391",94.40%,0%,D
VA-04,"200,638","75,270","120,684","4,684","176,311","181,265",37.50%,60.20%,R
VA-05,"204,945","73,482","124,735","6,728","164,555","188,485",35.90%,60.90%,R
VA-06,"179,708",0,"133,898","45,810","132,153","197,045",0%,74.50%,R
VA-07,"243,351","89,914","148,026","5,411","163,331","222,915",36.90%,60.80%,R
VA-08,"203,076","128,102","63,810","11,164","243,746","111,518",63.10%,31.40%,D
VA-09,"162,815",0,"117,465","45,350","108,641","196,354",0%,72.10%,R
VA-10,"222,910","89,957","125,914","7,039","182,432","186,650",40.40%,56.50%,R
VA-11,"187,805","106,780","75,796","5,229","212,181","123,317",56.90%,40.40%,D
WA-01,"225,579","124,151","101,428",0,"183,802","147,074",55.00%,45.00%,D
WA-02,"201,691","122,173","79,518",0,"185,771","119,266",60.60%,39.40%,D
WA-03,"202,814","78,018","124,796",0,"145,442","150,409",38.50%,61.50%,R
WA-04,"153,079",0,"153,079",0,"90,612","142,741",0%,100%,R
WA-05,"223,242","87,772","135,470",0,"137,771","168,671",39.30%,60.70%,R
WA-06,"224,290","141,265","83,025",0,"184,820","135,573",63.00%,37.00%,D
WA-07,"251,875","203,954","47,921",0,"310,828","70,973",81.00%,19.00%,D
WA-08,"198,744","73,003","125,741",0,"155,982","151,069",36.70%,63.30%,R
WA-09,"166,794","118,132","48,662",0,"195,863","84,828",70.80%,29.20%,D
WA-10,"181,492","99,279","82,213",0,"164,505","120,066",54.70%,45.30%,D
WV-01,"143,685","51,842","91,843",0,"81,017","141,736",36.10%,63.90%,R
WV-02,"153,092","67,210","72,042","13,840","89,079","140,783",43.90%,47.10%,R
WV-03,"139,681","62,418","77,263",0,"68,173","135,136",44.70%,55.30%,R
WI-01,"288,170","105,552","182,316",302,"179,872","195,835",36.60%,63.30%,R
WI-02,"328,847","224,920","103,619",308,"284,084","126,688",68.40%,31.50%,D
WI-03,"275,161","155,368","119,540",253,"199,188","159,205",56.50%,43.40%,D
WI-04,"254,892","179,045","68,490","7,357","268,440","84,751",70.20%,26.90%,D
WI-05,"332,826","101,190","231,160",476,"158,226","257,017",30.40%,69.50%,R
WI-06,"299,033","122,212","169,767","7,054","174,988","202,979",40.90%,56.80%,R
WI-07,"286,603","112,949","169,891","3,763","178,841","190,364",39.40%,59.30%,R
WI-08,"290,048","101,345","188,553",150,"177,346","191,127",34.90%,65.00%,R
WY-AL,"165,100","37,803","113,038","14,259","69,286","170,962",22.90%,68.50%,R
