GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total Population 18+,White 18+ (NH),Black 18+ (NH),Hispanic 18+,Asian and Pacific Islander 18+ (NH),Native American 18+ (NH),Other 18+ (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote,Avg Dem Vote,Avg Rep Vote
42081340,0,LYCOMING TWP Voting District,Lycoming,1478,1439,2,9,6,3,19,1210,1186,2,6,5,3,8,732,227,498,226,499
42081350,0,MC HENRY TWP Voting District,Lycoming,143,137,0,2,0,3,1,119,114,0,1,0,3,1,87,40,46,38,48
42081360,0,MC INTYRE TWP Voting District,Lycoming,520,507,2,0,1,2,8,392,388,1,0,0,2,1,187,53,133,53,133
42081370,0,MC NETT TWP Voting District,Lycoming,174,173,0,1,0,0,0,145,144,0,1,0,0,0,52,16,35,16,35
42081380,0,MIFFLIN TWP Voting District,Lycoming,1070,1048,3,3,0,4,12,846,837,1,1,0,2,5,456,102,348,121,329
42081390,0,MILL CREEK TWP Voting District,Lycoming,604,584,2,8,2,1,7,467,458,1,5,1,0,2,302,102,198,92,208
42081400,0,MONTGOMERY Voting District,Lycoming,1579,1497,18,33,2,4,25,1137,1094,12,17,2,4,8,518,193,314,187,320
42081410,0,MONTOURSVILLE WD 01,Lycoming,1782,1701,9,12,22,5,33,1386,1336,7,9,14,5,15,778,284,483,249,518
42081420,0,MONTOURSVILLE WD 02,Lycoming,1076,1045,2,18,8,0,3,866,847,1,8,7,0,3,644,194,442,185,451
42081430,0,MONTOURSVILLE WD 03,Lycoming,1757,1702,7,31,4,0,13,1393,1365,5,16,4,0,3,954,321,623,297,647
42081440,0,MORELAND TWP Voting District,Lycoming,943,936,1,3,1,1,1,775,771,0,2,1,1,0,497,172,316,167,321
42081480,0,MUNCY CREEK TWP Voting District,Lycoming,3474,3394,10,29,11,5,25,2766,2734,7,10,3,2,10,489,144,339,155,328
42081460,0,MUNCY PCT 01,Lycoming,1177,1149,2,15,6,0,5,916,901,2,7,4,0,2,478,224,248,168,304
42081470,0,MUNCY PCT 02,Lycoming,1300,1226,3,28,20,8,15,983,942,3,15,11,5,7,1442,471,958,524,905
42081450,0,MUNCY TWP Voting District,Lycoming,1089,1048,2,20,2,4,13,833,812,0,9,2,2,8,648,221,414,190,445
42081490,0,NIPPENOSE TWP Voting District,Lycoming,709,700,0,5,4,0,0,557,554,0,2,1,0,0,266,76,188,86,178
42081500,0,OLD LYCOMING TWP PCT 01,Lycoming,2640,2535,36,11,32,3,23,2162,2100,24,4,21,3,10,1544,517,1010,519,1008
42081510,0,OLD LYCOMING TWP PCT 02,Lycoming,2298,2222,24,16,11,4,21,1894,1846,19,7,8,4,10,1004,337,657,350,644
42081520,0,PENN TWP Voting District,Lycoming,960,942,3,5,1,1,8,750,741,2,1,1,1,4,361,134,221,114,241
42081530,0,PIATT TWP Voting District,Lycoming,1180,1136,6,15,6,6,11,869,848,1,7,3,6,4,462,135,322,123,334
42081540,0,PICTURE ROCKS Voting District,Lycoming,678,659,10,1,3,3,2,524,512,5,1,2,3,1,311,111,197,100,208
42081550,0,PINE TWP Voting District,Lycoming,294,288,1,0,1,0,4,245,241,1,0,1,0,2,155,34,120,32,122
42081560,0,PLUNKETTS CREEK TWP Voting District,Lycoming,684,663,1,14,1,2,3,550,538,0,8,1,2,1,335,103,226,102,227
42081570,0,PORTER TWP Voting District,Lycoming,1601,1573,10,4,9,0,5,1283,1264,7,3,8,0,1,669,199,463,194,468
42081580,0,SALLADASBURG Voting District,Lycoming,238,229,5,1,2,0,1,192,183,5,1,2,0,1,98,35,60,34,61
42081590,0,SHREWSBURY TWP Voting District,Lycoming,409,407,1,0,0,0,1,329,327,1,0,0,0,1,168,55,111,62,104
42081600,0,SOUTH WILLIAMSPORT WD 01,Lycoming,1922,1860,18,20,6,1,17,1570,1533,13,9,5,1,9,860,364,481,338,507
42081610,0,SOUTH WILLIAMSPORT WD 02 PCT 01,Lycoming,923,877,20,6,5,0,15,671,641,16,4,5,0,5,386,173,205,155,223
42081620,0,SOUTH WILLIAMSPORT WD 02 PCT 02,Lycoming,1092,1071,3,10,0,0,8,867,856,3,4,0,0,4,544,208,334,208,334
42081830,0,WILLIAMSPORT WD 16,Lycoming,1785,1551,126,32,5,1,70,1358,1243,77,15,5,1,17,720,342,376,320,398
42081840,0,WILLIAMSPORT WD 17,Lycoming,983,863,61,12,21,1,25,749,674,41,7,12,1,14,769,295,461,283,473
42081850,0,WOLF TWP Voting District,Lycoming,2907,2839,10,20,10,3,25,2259,2219,6,12,8,2,12,773,364,398,280,482
42081860,0,WOODWARD TWP Voting District,Lycoming,2200,2128,8,28,14,6,16,1779,1728,7,21,8,4,11,615,277,336,202,411
42081170,0,HUGHESVILLE WD 01,Lycoming,978,948,8,10,3,2,7,769,754,3,5,1,2,4,450,189,258,178,269
42081180,0,HUGHESVILLE WD 02,Lycoming,1150,1112,2,9,6,1,20,880,858,0,6,6,1,9,501,197,300,188,309
42081820,0,WILLIAMSPORT WD 15,Lycoming,1256,1167,17,51,11,2,8,1013,965,10,25,7,2,4,548,357,189,252,294
42081200,0,JERSEY SHORE WD 01,Lycoming,997,971,12,8,1,3,2,740,721,9,5,1,2,2,335,134,197,126,205
42081210,0,JERSEY SHORE WD 02,Lycoming,1191,1153,8,10,3,0,17,808,790,5,4,2,0,7,325,131,188,111,208
42081220,0,JERSEY SHORE WD 03,Lycoming,1080,1050,7,1,6,0,16,851,834,5,1,4,0,7,337,133,197,116,214
42081230,0,JERSEY SHORE WD 04,Lycoming,1093,1077,5,5,3,0,3,813,804,4,3,0,0,2,371,128,239,117,250
42081260,0,LIMESTONE TWP Voting District,Lycoming,2019,1994,1,14,4,4,2,1465,1448,1,7,4,4,1,891,232,646,266,612
42081270,0,LOYALSOCK TWP PCT 01,Lycoming,1347,1284,18,13,14,1,17,1123,1093,11,4,11,1,3,661,235,418,216,437
42081280,0,LOYALSOCK TWP PCT 02,Lycoming,1234,1166,24,16,17,2,9,972,927,19,12,9,1,4,722,276,435,261,450
42081290,0,LOYALSOCK TWP PCT 03,Lycoming,649,634,1,4,0,1,9,523,515,1,4,0,1,2,296,103,191,95,199
42081300,0,LOYALSOCK TWP PCT 04,Lycoming,1451,1383,18,21,20,0,9,1223,1184,10,10,15,0,4,852,271,578,267,582
42081310,0,LOYALSOCK TWP PCT 05,Lycoming,2089,1756,176,47,30,0,80,1605,1441,103,21,24,0,16,943,389,538,345,582
4208110,0,ANTHONY TWP Voting District,Lycoming,865,851,2,5,2,0,5,684,676,0,3,2,0,3,416,77,335,81,331
4208120,0,ARMSTRONG TWP Voting District,Lycoming,681,664,0,8,5,0,4,534,528,0,4,1,0,1,283,90,189,91,188
4208130,0,BASTRESS TWP Voting District,Lycoming,546,534,3,4,1,4,0,421,412,1,3,1,4,0,271,45,225,69,201
4208140,0,BRADY TWP Voting District,Lycoming,521,511,0,2,2,0,6,393,388,0,2,2,0,1,199,59,136,60,135
